"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.311","-0.102"," 0.724"," 0.207"," 1.503","72.000"," 0.137"
"days_between_v1_and_coinflip_local","-0.077","-0.247"," 0.092"," 0.085","-0.909","72.000"," 0.366"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.006","-0.010"," 0.022"," 0.008"," 0.751","72.000"," 0.455"
"(Intercept)","-0.481","-1.103"," 0.141"," 0.312","-1.543","72.000"," 0.127"
"age"," 0.001","-0.006"," 0.009"," 0.004"," 0.420","72.000"," 0.676"
"is_male","-0.136","-0.423"," 0.151"," 0.144","-0.947","72.000"," 0.347"
"is_latino"," 0.211","-0.075"," 0.497"," 0.144"," 1.469","72.000"," 0.146"
"is_not_latino_and_black"," 0.137","-0.134"," 0.408"," 0.136"," 1.006","72.000"," 0.318"
"is_not_latino_and_other"," 0.130","-0.242"," 0.502"," 0.187"," 0.695","72.000"," 0.489"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.046","72.000"," 0.964"
"has_partner"," 0.007","-0.204"," 0.218"," 0.106"," 0.067","72.000"," 0.947"
"income_val","-0.005","-0.037"," 0.027"," 0.016","-0.314","72.000"," 0.754"
"hour_coinflip_local"," 0.000","-0.010"," 0.010"," 0.005"," 0.009","72.000"," 0.993"
"days_between_v1_and_coinflip_local"," 0.092","-0.030"," 0.215"," 0.062"," 1.499","72.000"," 0.138"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.008","-0.020"," 0.004"," 0.006","-1.360","72.000"," 0.178"
"any_response_2qs"," 0.038","-0.098"," 0.174"," 0.068"," 0.558","72.000"," 0.579"
"any_recent_eligible_dp","-1.056","-1.544","-0.567"," 0.245","-4.308","72.000"," 0.000"
"engagement_most_recent_eligible"," 0.865"," 0.604"," 1.125"," 0.131"," 6.623","72.000"," 0.000"
