"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.099"," 0.131","-0.162"," 0.360","-0.119"," 0.317"," 0.757","74.000"," 0.452"
"any_app_usage_and_brief_survey_preblock"," 0.010"," 0.130","-0.248"," 0.269","-0.206"," 0.226"," 0.079","74.000"," 0.938"
"(Intercept)"," 0.099"," 0.131","-0.162"," 0.360","-0.119"," 0.317"," 0.757","74.000"," 0.452"
"(Intercept) + any_app_usage_and_brief_survey_preblock"," 0.109"," 0.047"," 0.015"," 0.204"," 0.030"," 0.188"," 2.304","74.000"," 0.024"
"(Intercept)","-1.430"," 0.264","-1.955","-0.904","-1.869","-0.990","-5.422","74.000"," 0.000"
"any_app_usage_and_brief_survey_preblock"," 0.090"," 0.117","-0.144"," 0.324","-0.105"," 0.286"," 0.769","74.000"," 0.444"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.552","74.000"," 0.583"
"is_male","-0.138"," 0.147","-0.431"," 0.156","-0.383"," 0.108","-0.935","74.000"," 0.353"
"is_latino"," 0.210"," 0.147","-0.084"," 0.503","-0.036"," 0.455"," 1.423","74.000"," 0.159"
"is_not_latino_and_black"," 0.133"," 0.139","-0.144"," 0.411","-0.099"," 0.366"," 0.957","74.000"," 0.342"
"is_not_latino_and_other"," 0.120"," 0.192","-0.263"," 0.504","-0.200"," 0.441"," 0.625","74.000"," 0.534"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.011"," 0.022","74.000"," 0.982"
"has_partner"," 0.004"," 0.109","-0.214"," 0.221","-0.178"," 0.185"," 0.032","74.000"," 0.974"
"income_val","-0.004"," 0.016","-0.036"," 0.029","-0.031"," 0.023","-0.227","74.000"," 0.821"
"hour_coinflip_local"," 0.002"," 0.005","-0.009"," 0.013","-0.007"," 0.011"," 0.370","74.000"," 0.713"
"days_between_v1_and_coinflip_local"," 0.006"," 0.008","-0.010"," 0.021","-0.007"," 0.018"," 0.717","74.000"," 0.476"
"any_response_2qs","-0.013"," 0.077","-0.166"," 0.140","-0.141"," 0.115","-0.164","74.000"," 0.870"
"engagement_most_recent_eligible"," 0.867"," 0.130"," 0.608"," 1.126"," 0.650"," 1.084"," 6.663","74.000"," 0.000"
