"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.057"," 0.119","-0.180"," 0.294","-0.142"," 0.255"," 0.477","71.000"," 0.635"
"maas_total"," 0.013"," 0.028","-0.043"," 0.069","-0.034"," 0.060"," 0.471","71.000"," 0.639"
"(Intercept)","-1.333"," 0.284","-1.900","-0.766","-1.807","-0.859","-4.688","71.000"," 0.000"
"maas_total","-0.013"," 0.043","-0.099"," 0.073","-0.085"," 0.058","-0.308","71.000"," 0.759"
"age"," 0.002"," 0.005","-0.008"," 0.012","-0.006"," 0.010"," 0.419","71.000"," 0.677"
"is_male","-0.149"," 0.178","-0.504"," 0.206","-0.446"," 0.148","-0.838","71.000"," 0.405"
"is_latino"," 0.196"," 0.148","-0.098"," 0.490","-0.050"," 0.442"," 1.328","71.000"," 0.188"
"is_not_latino_and_black"," 0.160"," 0.138","-0.114"," 0.435","-0.069"," 0.390"," 1.166","71.000"," 0.247"
"is_not_latino_and_other"," 0.127"," 0.196","-0.264"," 0.518","-0.200"," 0.454"," 0.648","71.000"," 0.519"
"baseline_tobacco_history"," 0.001"," 0.007","-0.013"," 0.015","-0.011"," 0.012"," 0.103","71.000"," 0.918"
"has_partner","-0.003"," 0.114","-0.230"," 0.225","-0.193"," 0.188","-0.022","71.000"," 0.982"
"income_val","-0.008"," 0.019","-0.045"," 0.029","-0.039"," 0.023","-0.416","71.000"," 0.679"
"hour_coinflip_local"," 0.000"," 0.005","-0.011"," 0.010","-0.009"," 0.008","-0.066","71.000"," 0.948"
"days_between_v1_and_coinflip_local"," 0.005"," 0.008","-0.011"," 0.021","-0.008"," 0.018"," 0.609","71.000"," 0.544"
"any_response_2qs"," 0.076"," 0.069","-0.061"," 0.213","-0.039"," 0.190"," 1.101","71.000"," 0.275"
"engagement_most_recent_eligible"," 0.875"," 0.136"," 0.603"," 1.147"," 0.647"," 1.102"," 6.410","71.000"," 0.000"
