"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.273"," 0.151","-0.028"," 0.573"," 0.022"," 0.524"," 1.811","68.000"," 0.075"
"mdes_pos_mean","-0.067"," 0.056","-0.179"," 0.045","-0.160"," 0.026","-1.198","68.000"," 0.235"
"(Intercept)","-1.461"," 0.335","-2.130","-0.792","-2.020","-0.902","-4.359","68.000"," 0.000"
"mdes_pos_mean"," 0.071"," 0.064","-0.056"," 0.198","-0.035"," 0.177"," 1.111","68.000"," 0.271"
"age"," 0.001"," 0.004","-0.007"," 0.009","-0.006"," 0.007"," 0.161","68.000"," 0.872"
"is_male","-0.156"," 0.159","-0.474"," 0.163","-0.421"," 0.110","-0.976","68.000"," 0.333"
"is_latino"," 0.166"," 0.155","-0.143"," 0.474","-0.092"," 0.423"," 1.070","68.000"," 0.288"
"is_not_latino_and_black"," 0.114"," 0.156","-0.197"," 0.425","-0.145"," 0.374"," 0.734","68.000"," 0.466"
"is_not_latino_and_other"," 0.117"," 0.201","-0.283"," 0.518","-0.218"," 0.452"," 0.583","68.000"," 0.562"
"baseline_tobacco_history","-0.002"," 0.009","-0.019"," 0.016","-0.016"," 0.013","-0.173","68.000"," 0.863"
"has_partner"," 0.012"," 0.121","-0.229"," 0.252","-0.189"," 0.213"," 0.098","68.000"," 0.922"
"income_val","-0.009"," 0.018","-0.045"," 0.026","-0.039"," 0.020","-0.523","68.000"," 0.603"
"hour_coinflip_local"," 0.000"," 0.005","-0.010"," 0.011","-0.008"," 0.009"," 0.065","68.000"," 0.948"
"days_between_v1_and_coinflip_local"," 0.005"," 0.008","-0.011"," 0.021","-0.008"," 0.019"," 0.629","68.000"," 0.531"
"any_response_2qs"," 0.079"," 0.070","-0.061"," 0.219","-0.038"," 0.196"," 1.124","68.000"," 0.265"
"engagement_most_recent_eligible"," 0.882"," 0.135"," 0.613"," 1.151"," 0.657"," 1.106"," 6.542","68.000"," 0.000"
