"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.172","-0.429"," 0.773"," 0.301"," 0.572","63.000"," 0.569"
"srq_mean","-0.014","-0.165"," 0.138"," 0.076","-0.179","63.000"," 0.859"
"(Intercept)","-1.446","-2.380","-0.512"," 0.467","-3.095","63.000"," 0.003"
"srq_mean"," 0.058","-0.110"," 0.226"," 0.084"," 0.690","63.000"," 0.492"
"age"," 0.001","-0.009"," 0.010"," 0.005"," 0.125","63.000"," 0.901"
"is_male","-0.179","-0.551"," 0.193"," 0.186","-0.961","63.000"," 0.340"
"is_latino"," 0.160","-0.167"," 0.486"," 0.163"," 0.979","63.000"," 0.332"
"is_not_latino_and_black"," 0.076","-0.240"," 0.392"," 0.158"," 0.482","63.000"," 0.631"
"is_not_latino_and_other"," 0.069","-0.338"," 0.476"," 0.204"," 0.341","63.000"," 0.735"
"baseline_tobacco_history"," 0.000","-0.020"," 0.021"," 0.010"," 0.048","63.000"," 0.962"
"has_partner"," 0.003","-0.255"," 0.261"," 0.129"," 0.023","63.000"," 0.982"
"income_val","-0.018","-0.062"," 0.025"," 0.022","-0.839","63.000"," 0.405"
"hour_coinflip_local"," 0.000","-0.012"," 0.012"," 0.006","-0.028","63.000"," 0.977"
"days_between_v1_and_coinflip_local"," 0.004","-0.015"," 0.022"," 0.009"," 0.386","63.000"," 0.701"
"any_response_2qs"," 0.059","-0.095"," 0.214"," 0.077"," 0.764","63.000"," 0.447"
"engagement_most_recent_eligible"," 0.878"," 0.592"," 1.165"," 0.143"," 6.131","63.000"," 0.000"
