"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.107"," 0.050"," 0.008"," 0.207"," 0.024"," 0.191"," 2.152","74.000"," 0.035"
"ashamed_lag1"," 0.009"," 0.077","-0.144"," 0.162","-0.119"," 0.137"," 0.119","74.000"," 0.906"
"(Intercept)","-1.402"," 0.259","-1.918","-0.885","-1.834","-0.970","-5.408","74.000"," 0.000"
"ashamed_lag1"," 0.013"," 0.059","-0.104"," 0.129","-0.085"," 0.110"," 0.216","74.000"," 0.830"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.592","74.000"," 0.556"
"is_male","-0.138"," 0.149","-0.435"," 0.159","-0.386"," 0.111","-0.924","74.000"," 0.359"
"is_latino"," 0.210"," 0.149","-0.087"," 0.508","-0.039"," 0.459"," 1.407","74.000"," 0.164"
"is_not_latino_and_black"," 0.130"," 0.142","-0.154"," 0.413","-0.107"," 0.366"," 0.911","74.000"," 0.365"
"is_not_latino_and_other"," 0.126"," 0.196","-0.264"," 0.517","-0.200"," 0.453"," 0.644","74.000"," 0.521"
"baseline_tobacco_history"," 0.000"," 0.007","-0.014"," 0.013","-0.011"," 0.011","-0.009","74.000"," 0.993"
"has_partner"," 0.002"," 0.111","-0.219"," 0.222","-0.183"," 0.186"," 0.014","74.000"," 0.989"
"income_val","-0.004"," 0.016","-0.036"," 0.029","-0.031"," 0.024","-0.220","74.000"," 0.827"
"hour_coinflip_local"," 0.002"," 0.005","-0.008"," 0.013","-0.007"," 0.011"," 0.404","74.000"," 0.687"
"days_between_v1_and_coinflip_local"," 0.005"," 0.008","-0.010"," 0.020","-0.008"," 0.018"," 0.661","74.000"," 0.511"
"any_response_2qs"," 0.034"," 0.071","-0.107"," 0.174","-0.084"," 0.151"," 0.482","74.000"," 0.632"
"engagement_most_recent_eligible"," 0.876"," 0.133"," 0.611"," 1.141"," 0.654"," 1.097"," 6.592","74.000"," 0.000"
