"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.028"," 0.055","-0.082"," 0.138","-0.064"," 0.120"," 0.510","45.000"," 0.613"
"ashamed_mean_past24hrs","-0.109"," 0.161","-0.435"," 0.216","-0.381"," 0.162","-0.678","45.000"," 0.501"
"(Intercept)","-1.276"," 0.346","-1.971","-0.580","-1.856","-0.695","-3.692","45.000"," 0.001"
"ashamed_mean_past24hrs"," 0.021"," 0.117","-0.215"," 0.256","-0.176"," 0.217"," 0.178","45.000"," 0.860"
"age"," 0.002"," 0.005","-0.008"," 0.011","-0.006"," 0.009"," 0.334","45.000"," 0.740"
"is_male","-0.091"," 0.157","-0.408"," 0.226","-0.355"," 0.173","-0.579","45.000"," 0.565"
"is_latino"," 0.148"," 0.163","-0.179"," 0.476","-0.125"," 0.421"," 0.911","45.000"," 0.367"
"is_not_latino_and_black"," 0.027"," 0.191","-0.358"," 0.412","-0.294"," 0.348"," 0.142","45.000"," 0.888"
"is_not_latino_and_other","-0.011"," 0.210","-0.434"," 0.412","-0.364"," 0.342","-0.053","45.000"," 0.958"
"baseline_tobacco_history","-0.001"," 0.010","-0.021"," 0.018","-0.017"," 0.015","-0.118","45.000"," 0.907"
"has_partner"," 0.092"," 0.120","-0.149"," 0.333","-0.109"," 0.293"," 0.768","45.000"," 0.446"
"income_val","-0.027"," 0.018","-0.063"," 0.009","-0.057"," 0.003","-1.504","45.000"," 0.139"
"hour_coinflip_local"," 0.004"," 0.005","-0.007"," 0.014","-0.005"," 0.012"," 0.684","45.000"," 0.497"
"days_between_v1_and_coinflip_local"," 0.011"," 0.011","-0.010"," 0.032","-0.007"," 0.029"," 1.025","45.000"," 0.311"
"any_response_2qs"," 0.161"," 0.099","-0.038"," 0.359","-0.005"," 0.326"," 1.629","45.000"," 0.110"
"engagement_most_recent_eligible"," 0.860"," 0.179"," 0.499"," 1.221"," 0.559"," 1.161"," 4.801","45.000"," 0.000"
