"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.106"," 0.055","-0.004"," 0.215"," 0.014"," 0.197"," 1.923","74.000"," 0.058"
"cigarette_availability_lag1"," 0.003"," 0.025","-0.047"," 0.052","-0.039"," 0.044"," 0.101","74.000"," 0.920"
"(Intercept)","-1.372"," 0.257","-1.883","-0.860","-1.799","-0.944","-5.345","74.000"," 0.000"
"cigarette_availability_lag1","-0.015"," 0.029","-0.072"," 0.042","-0.063"," 0.032","-0.538","74.000"," 0.592"
"age"," 0.002"," 0.004","-0.005"," 0.010","-0.004"," 0.009"," 0.578","74.000"," 0.565"
"is_male","-0.127"," 0.147","-0.420"," 0.167","-0.372"," 0.119","-0.860","74.000"," 0.393"
"is_latino"," 0.197"," 0.154","-0.110"," 0.504","-0.059"," 0.453"," 1.280","74.000"," 0.205"
"is_not_latino_and_black"," 0.133"," 0.148","-0.161"," 0.427","-0.113"," 0.379"," 0.900","74.000"," 0.371"
"is_not_latino_and_other"," 0.106"," 0.198","-0.288"," 0.501","-0.224"," 0.436"," 0.536","74.000"," 0.594"
"baseline_tobacco_history"," 0.001"," 0.007","-0.012"," 0.014","-0.010"," 0.012"," 0.115","74.000"," 0.908"
"has_partner"," 0.025"," 0.108","-0.190"," 0.239","-0.155"," 0.204"," 0.229","74.000"," 0.819"
"income_val","-0.007"," 0.016","-0.040"," 0.025","-0.035"," 0.020","-0.450","74.000"," 0.654"
"hour_coinflip_local"," 0.003"," 0.006","-0.008"," 0.014","-0.006"," 0.012"," 0.565","74.000"," 0.574"
"days_between_v1_and_coinflip_local"," 0.003"," 0.008","-0.014"," 0.020","-0.011"," 0.017"," 0.364","74.000"," 0.717"
"any_response_2qs"," 0.031"," 0.071","-0.110"," 0.173","-0.087"," 0.150"," 0.442","74.000"," 0.660"
"engagement_most_recent_eligible"," 0.874"," 0.134"," 0.607"," 1.142"," 0.651"," 1.098"," 6.509","74.000"," 0.000"
