"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.149","-0.140"," 0.438"," 0.145"," 1.027","74.000"," 0.308"
"src_scored_lag1","-0.013","-0.101"," 0.076"," 0.044","-0.287","74.000"," 0.775"
"(Intercept)","-1.433","-2.027","-0.839"," 0.298","-4.806","74.000"," 0.000"
"src_scored_lag1"," 0.006","-0.083"," 0.096"," 0.045"," 0.143","74.000"," 0.887"
"age"," 0.002","-0.006"," 0.009"," 0.004"," 0.464","74.000"," 0.644"
"is_male","-0.128","-0.435"," 0.179"," 0.154","-0.833","74.000"," 0.407"
"is_latino"," 0.208","-0.093"," 0.510"," 0.151"," 1.378","74.000"," 0.172"
"is_not_latino_and_black"," 0.151","-0.125"," 0.428"," 0.139"," 1.089","74.000"," 0.280"
"is_not_latino_and_other"," 0.117","-0.268"," 0.502"," 0.193"," 0.606","74.000"," 0.547"
"baseline_tobacco_history"," 0.000","-0.014"," 0.013"," 0.007","-0.013","74.000"," 0.990"
"has_partner"," 0.023","-0.195"," 0.241"," 0.110"," 0.212","74.000"," 0.833"
"income_val","-0.007","-0.040"," 0.025"," 0.016","-0.445","74.000"," 0.658"
"hour_coinflip_local"," 0.003","-0.008"," 0.014"," 0.005"," 0.593","74.000"," 0.555"
"days_between_v1_and_coinflip_local"," 0.006","-0.009"," 0.021"," 0.008"," 0.785","74.000"," 0.435"
"any_response_2qs"," 0.045","-0.095"," 0.186"," 0.071"," 0.640","74.000"," 0.524"
"engagement_most_recent_eligible"," 0.884"," 0.611"," 1.158"," 0.137"," 6.437","74.000"," 0.000"
