"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.112","-0.011"," 0.235"," 0.062"," 1.819","74.000"," 0.073"
"stressor_is_any_lag1"," 0.004","-0.160"," 0.169"," 0.083"," 0.054","74.000"," 0.957"
"(Intercept)","-1.345","-1.859","-0.832"," 0.258","-5.224","74.000"," 0.000"
"stressor_is_any_lag1","-0.082","-0.254"," 0.091"," 0.087","-0.944","74.000"," 0.348"
"age"," 0.001","-0.006"," 0.009"," 0.004"," 0.408","74.000"," 0.685"
"is_male","-0.135","-0.428"," 0.158"," 0.147","-0.916","74.000"," 0.363"
"is_latino"," 0.207","-0.086"," 0.499"," 0.147"," 1.410","74.000"," 0.163"
"is_not_latino_and_black"," 0.139","-0.133"," 0.411"," 0.136"," 1.020","74.000"," 0.311"
"is_not_latino_and_other"," 0.089","-0.294"," 0.472"," 0.192"," 0.465","74.000"," 0.643"
"baseline_tobacco_history"," 0.000","-0.013"," 0.013"," 0.007","-0.021","74.000"," 0.983"
"has_partner"," 0.007","-0.203"," 0.217"," 0.105"," 0.063","74.000"," 0.950"
"income_val","-0.007","-0.040"," 0.026"," 0.016","-0.433","74.000"," 0.667"
"hour_coinflip_local"," 0.004","-0.007"," 0.014"," 0.005"," 0.708","74.000"," 0.481"
"days_between_v1_and_coinflip_local"," 0.006","-0.009"," 0.021"," 0.007"," 0.799","74.000"," 0.427"
"any_response_2qs"," 0.038","-0.101"," 0.177"," 0.070"," 0.547","74.000"," 0.586"
"engagement_most_recent_eligible"," 0.877"," 0.612"," 1.142"," 0.133"," 6.598","74.000"," 0.000"
