"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.088","-0.001"," 0.178"," 0.045"," 1.966","74.000"," 0.053"
"substance_is_any_lag1"," 0.075","-0.098"," 0.249"," 0.087"," 0.863","74.000"," 0.391"
"(Intercept)","-1.322","-1.835","-0.808"," 0.258","-5.130","74.000"," 0.000"
"substance_is_any_lag1","-0.129","-0.266"," 0.008"," 0.069","-1.873","74.000"," 0.065"
"age"," 0.002","-0.005"," 0.009"," 0.004"," 0.499","74.000"," 0.619"
"is_male","-0.136","-0.432"," 0.160"," 0.149","-0.914","74.000"," 0.364"
"is_latino"," 0.189","-0.107"," 0.485"," 0.149"," 1.272","74.000"," 0.207"
"is_not_latino_and_black"," 0.141","-0.137"," 0.419"," 0.140"," 1.011","74.000"," 0.315"
"is_not_latino_and_other"," 0.121","-0.261"," 0.503"," 0.192"," 0.629","74.000"," 0.531"
"baseline_tobacco_history"," 0.001","-0.012"," 0.015"," 0.007"," 0.180","74.000"," 0.858"
"has_partner"," 0.022","-0.193"," 0.237"," 0.108"," 0.204","74.000"," 0.839"
"income_val","-0.008","-0.040"," 0.025"," 0.016","-0.480","74.000"," 0.632"
"hour_coinflip_local"," 0.003","-0.008"," 0.014"," 0.006"," 0.467","74.000"," 0.642"
"days_between_v1_and_coinflip_local"," 0.001","-0.015"," 0.017"," 0.008"," 0.156","74.000"," 0.876"
"any_response_2qs"," 0.031","-0.108"," 0.170"," 0.070"," 0.442","74.000"," 0.660"
"engagement_most_recent_eligible"," 0.870"," 0.604"," 1.137"," 0.134"," 6.504","74.000"," 0.000"
