"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.017","-0.079"," 0.113"," 0.048"," 0.351","43.000"," 0.727"
"substance_is_marijuana_or_cannabis_sum_past24hrs","-0.072","-0.290"," 0.146"," 0.108","-0.666","43.000"," 0.509"
"(Intercept)","-1.333","-2.064","-0.602"," 0.363","-3.676","43.000"," 0.001"
"substance_is_marijuana_or_cannabis_sum_past24hrs"," 0.023","-0.101"," 0.147"," 0.062"," 0.380","43.000"," 0.706"
"age"," 0.002","-0.008"," 0.012"," 0.005"," 0.366","43.000"," 0.716"
"is_male","-0.093","-0.432"," 0.246"," 0.168","-0.555","43.000"," 0.581"
"is_latino"," 0.151","-0.195"," 0.497"," 0.171"," 0.881","43.000"," 0.383"
"is_not_latino_and_black"," 0.021","-0.381"," 0.423"," 0.199"," 0.103","43.000"," 0.918"
"is_not_latino_and_other","-0.010","-0.449"," 0.428"," 0.217","-0.047","43.000"," 0.963"
"baseline_tobacco_history","-0.001","-0.022"," 0.019"," 0.010","-0.106","43.000"," 0.916"
"has_partner"," 0.098","-0.153"," 0.350"," 0.125"," 0.788","43.000"," 0.435"
"income_val","-0.027","-0.068"," 0.014"," 0.020","-1.320","43.000"," 0.194"
"hour_coinflip_local"," 0.004","-0.007"," 0.015"," 0.005"," 0.682","43.000"," 0.499"
"days_between_v1_and_coinflip_local"," 0.014","-0.009"," 0.036"," 0.011"," 1.247","43.000"," 0.219"
"any_response_2qs"," 0.173","-0.029"," 0.374"," 0.100"," 1.726","43.000"," 0.091"
"engagement_most_recent_eligible"," 0.874"," 0.508"," 1.240"," 0.182"," 4.812","43.000"," 0.000"
