"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.092"," 0.051","-0.010"," 0.193"," 0.007"," 0.177"," 1.801","74.000"," 0.076"
"has_partner"," 0.033"," 0.105","-0.176"," 0.241","-0.142"," 0.207"," 0.312","74.000"," 0.756"
"(Intercept)","-0.315"," 0.260","-0.833"," 0.203","-0.748"," 0.118","-1.213","74.000"," 0.229"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.005"," 0.007"," 0.365","74.000"," 0.717"
"is_male","-0.139"," 0.144","-0.426"," 0.148","-0.379"," 0.101","-0.964","74.000"," 0.338"
"is_latino"," 0.210"," 0.144","-0.076"," 0.497","-0.029"," 0.450"," 1.462","74.000"," 0.148"
"is_not_latino_and_black"," 0.138"," 0.136","-0.133"," 0.410","-0.089"," 0.365"," 1.014","74.000"," 0.314"
"is_not_latino_and_other"," 0.130"," 0.187","-0.243"," 0.503","-0.182"," 0.442"," 0.693","74.000"," 0.490"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.012"," 0.057","74.000"," 0.955"
"has_partner","-0.008"," 0.141","-0.288"," 0.273","-0.242"," 0.227","-0.055","74.000"," 0.956"
"income_val","-0.005"," 0.016","-0.038"," 0.027","-0.032"," 0.021","-0.341","74.000"," 0.734"
"hour_coinflip_local"," 0.001"," 0.005","-0.009"," 0.011","-0.008"," 0.009"," 0.127","74.000"," 0.899"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.011"," 0.020","-0.009"," 0.017"," 0.545","74.000"," 0.588"
"any_response_2qs"," 0.044"," 0.067","-0.089"," 0.176","-0.067"," 0.154"," 0.654","74.000"," 0.515"
"any_recent_eligible_dp","-1.018"," 0.206","-1.428","-0.607","-1.361","-0.674","-4.939","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.865"," 0.131"," 0.604"," 1.126"," 0.647"," 1.083"," 6.606","74.000"," 0.000"
